,strain,THC,CBD,Terpentines,MinorCanabanoids,Description,Feelings,HelpsWith,Negatives,type,rating,reviewCount
63,platinum-gsc,15–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"If you thought GSC couldn’t get any better, then behold its next evolution, Platinum GSC, formerly known as Platinum Girl Scout Cookies. This Cup-winning hybrid—a cross of OG Kush, Durban Poison, and a third unknown strain—fills your nose and lungs with sweet notes of berry and candy, followed by a fruity spiciness. Patients with severe pain, nausea, swelling, migraines, and stress should look no further for relief as symptoms both physical and mood-related melt away instantly. The Platinum GSC strain flaunts a heavy coat of crystal trichomes over its sage green leaves, assuring its potency to any consumer in doubt. 
  ","['Relaxed 71%', 'Happy 61%', 'Euphoric 55%', 'Uplifted 46%', 'Creative 32%']","['Stress 36%', 'Pain 32%', 'Depression 28%', 'Anxiety 26%', 'Headaches 18%']","['Dry mouth 25%', 'Dry eyes 12%', 'Anxious 4%', 'Dizzy 4%', 'Paranoid 3%']",Hybrid,4.6 ,1234 reviews
64,maui-wowie,15–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Maui Wowie (not Maui Waui) is a classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain originally comes from. Since its beginnings in the island’s volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight effects allow your mind to drift away to creative escapes, while Maui Wowie’s motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growing.  ","['Happy 64%', 'Uplifted 56%', 'Euphoric 51%', 'Energetic 46%', 'Creative 40%']","['Stress 39%', 'Anxiety 30%', 'Depression 28%', 'Pain 22%', 'Fatigue 15%']","['Dry mouth 27%', 'Dry eyes 16%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 3%']",Sativa,4.3 ,1422 reviews
65,platinum-og,17–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Platinum OG is just as precious as the metal it’s named after. This indica-dominant hybrid asserts itself as one of the “heaviest” strains around. Platinum OG is purported to stem from three strains: Master Kush, OG Kush, and a third unknown parent. Flowers are lime green and plump, with prominent orange hairs and a platinum coating thanks to the abundance of THC crystals. A brief, heady onset settles into a powerful physical sedation suitable for nighttime use and pain, stress, or anxiety relief, making this precious strain a robust healer.","['Relaxed 73%', 'Sleepy 52%', 'Euphoric 51%', 'Happy 46%', 'Hungry 31%']","['Stress 38%', 'Pain 32%', 'Insomnia 31%', 'Anxiety 30%', 'Depression 24%']","['Dry mouth 33%', 'Dry eyes 18%', 'Dizzy 8%', 'Paranoid 5%', 'Anxious 3%']",Indica,4.4 ,804 reviews
66,berry-white,14–18% THC,< 1% CBD,"['Limonene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Berry White is a hybrid strain that is the offspring of parents of near-celebrity status in the cannabis world: Blueberry and White Widow. Berry is famous in its own right for its even, balanced effects that offer relaxation from stress and anxiety along with a sense of euphoria. This strain is perfect for inspiring an upbeat mood and may lead to conversation and creative pursuits. This plant’s flowers have a light sour berry and pine smell and a fresh taste similar to their scent. They generally have a strong blue coloring contrasted by orange hairs.","['Relaxed 64%', 'Happy 58%', 'Euphoric 52%', 'Uplifted 45%', 'Creative 33%']","['Stress 35%', 'Anxiety 30%', 'Pain 26%', 'Depression 25%', 'Insomnia 18%']","['Dry mouth 29%', 'Dry eyes 16%', 'Paranoid 4%', 'Dizzy 4%', 'Anxious 3%']",Indica,4.3 ,1066 reviews
67,purple-haze,14–18% THC,< 1% CBD,[],No relevant amounts,"Popularized by Jimi Hendrix’s 1967 classic, Purple Haze delivers a dreamy burst of euphoria that brings veteran consumers back to their psychedelic heyday. This nostalgic sativa staple remains cherished for its high energy cerebral stimulation that awakens creativity and blissful contentment throughout the day. Purple Haze is believed to have descended from parent strains Purple Thai and Haze, which pass on a mix of sweet and earthy flavors underscored by notes of berry and sharp spice. Purple Haze buds typically acquire vibrant hues of lavender that further justify the naming of this strain.","['Happy 61%', 'Euphoric 60%', 'Uplifted 52%', 'Creative 45%', 'Energetic 42%']","['Stress 36%', 'Anxiety 28%', 'Depression 26%', 'Pain 25%', 'Fatigue 12%']","['Dry mouth 38%', 'Dry eyes 22%', 'Dizzy 12%', 'Paranoid 10%', 'Headache 7%']",Sativa,4.2 ,1070 reviews
68,white-fire-og,17–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",No relevant amounts,"White Fire OG, also known as WiFi OG, has uplifting and comfortable cerebral effects. This strain combines the best features of its parent strains: the sour, earthy, diesel aroma of Fire OG and the high resin production of The White, leaving the plants covered in a dusty snowfall of crystals. Many phenotypes exist, some with dense, barrel-like buds and others with pointed, conic formations. Daytime use of this strain won’t leave you drowsy, making it a good choice for social and creative activities. White Fire OG is often chosen by patients to treat anxiety and depression, cancer, glaucoma, pain, and appetite loss. Growers of White Fire OG can raise their high-yielding plants inside or outdoors with a 65-day flowering period.","['Happy 60%', 'Euphoric 52%', 'Uplifted 52%', 'Relaxed 52%', 'Energetic 38%']","['Stress 32%', 'Depression 30%', 'Anxiety 28%', 'Pain 26%', 'Fatigue 14%']","['Dry mouth 25%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",Hybrid,4.5 ,897 reviews
69,bubble-gum,14–18% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Originally Bubble Gum was developed by growers in Indiana. From there the genetics moved to New England and eventually Holland. It took many generations to finally produce a stable Bubble Gum with the characteristic sweet smell and euphoric high. Bubble Gum was the winner of two awards in the Cannabis Cup of '94, and the 2nd place winner in '95 and again in '99.","['Happy 62%', 'Euphoric 54%', 'Relaxed 49%', 'Uplifted 43%', 'Creative 33%']","['Stress 39%', 'Depression 28%', 'Anxiety 27%', 'Pain 27%', 'Insomnia 15%']","['Dry mouth 32%', 'Dry eyes 21%', 'Dizzy 9%', 'Paranoid 7%', 'Headache 6%']",Hybrid,4.1 ,1050 reviews
70,cinderella-99,13–17% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Cinderella 99, otherwise known as C99, or simply “Cindy,” is a sativa-dominant hybrid bred by Mr. Soul of Brothers Grimm. She’s best known for her potent cerebral high, sweet fruity flavors, and epic yields.  According to Mr. Soul, C99 was created using seeds found in a Sensi branded 2 gram package of Jack Herer purchased at an Amsterdam coffee shop.  Cinderella 99 is very popular with indoor growers because of its short, bushy stature, high yields, short flowering time, and high THC content. Cindy’s effects are usually described as dreamy, euphoric, and uplifting.","['Happy 61%', 'Euphoric 56%', 'Uplifted 54%', 'Energetic 51%', 'Creative 39%']","['Stress 35%', 'Depression 32%', 'Anxiety 29%', 'Pain 20%', 'Fatigue 15%']","['Dry mouth 25%', 'Dry eyes 14%', 'Paranoid 9%', 'Anxious 5%', 'Dizzy 5%']",Hybrid,4.2 ,1059 reviews
71,cookies-kush,15–20% THC,< 1% CBD,[],,"Cookies Kush from Barney's Coffeeshop combines GSC with the Rolex phenotype of OG Kush, resulting in a potent indica worthy of 1st place in High Times' 2014 Amsterdam Cannabis Cup in the ""Best Coffeeshop Strain"" category.","['Relaxed 81%', 'Happy 56%', 'Sleepy 51%', 'Euphoric 46%', 'Hungry 36%']","['Stress 38%', 'Anxiety 27%', 'Pain 26%', 'Insomnia 21%', 'Depression 19%']","['Dry mouth 31%', 'Dry eyes 24%', 'Dizzy 10%', 'Paranoid 4%', 'Anxious 2%']",Indica,4.5 ,279 reviews
72,zookies,17–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"A project from Alien Labs, Zookies is a cross of Animals Cookies and Original Glue. The result is a level-headed hybrid that is as delicious as it is potent. The strain has a unique terpene profile, aroma, and flavor of sweet nutty cookies with a hint of diesel. Zookies is a great choice for someone looking for a strong high without getting stuck in the couch.","['Relaxed 90%', 'Uplifted 65%', 'Happy 65%', 'Focused 55%', 'Euphoric 50%']","['Anxiety 40%', 'Stress 25%', 'Pain 25%', 'Arthritis 20%', 'Inflammation 15%']",,Hybrid,4.7 ,42 reviews
73,cheese,14–18% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting strain is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind.","['Happy 56%', 'Relaxed 55%', 'Euphoric 50%', 'Uplifted 39%', 'Hungry 34%']","['Stress 42%', 'Pain 33%', 'Anxiety 33%', 'Depression 25%', 'Insomnia 22%']","['Dry mouth 39%', 'Dry eyes 25%', 'Paranoid 10%', 'Dizzy 10%', 'Headache 6%']",Hybrid,4 ,1518 reviews
74,jet-fuel,16–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Jet Fuel, also known as G6, from 303 Seeds is the ultimate cross of some of the most renowned Diesel strains. By combining Aspen OG with High Country Diesel, we are left with a hybrid that stays true to the influence of SFV OG Kush and East Coast Sour Diesel in its lineage. The name Jet Fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting effects that eventually level off to provide a dream-like state of relaxation.","['Happy 57%', 'Relaxed 56%', 'Uplifted 52%', 'Euphoric 48%', 'Energetic 39%']","['Stress 34%', 'Depression 28%', 'Pain 26%', 'Anxiety 21%', 'Fatigue 16%']","['Dry mouth 21%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 5%', 'Paranoid 4%']",Hybrid,4.6 ,466 reviews
75,mango-kush,16–21% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"The Mango Kush marijuana strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. Its buds are covered with orange pistils and are described as very dense. The plant has an average growth height of 4-5 feet. Flowering is 9-11 weeks and is a favorite with both indoor and outdoor growers. The buds have thick shiny trichomes which are evident when the bud is broken apart. The smell and taste are the same and described as mango and banana. ","['Happy 64%', 'Relaxed 51%', 'Euphoric 48%', 'Uplifted 41%', 'Giggly 35%']","['Stress 36%', 'Anxiety 25%', 'Depression 22%', 'Pain 21%', 'Insomnia 15%']","['Dry mouth 36%', 'Dry eyes 24%', 'Dizzy 9%', 'Paranoid 7%', 'Headache 4%']",Hybrid,4.2 ,1116 reviews
76,lsd,14–19% THC,< 1% CBD,"['Terpinolene', 'Pinene', 'Myrcene']",No relevant amounts,"The LSD strain was bred by Barneys Farm, with a lineage from Mazar-I-Sharif and Skunk #1. It is a disease-resistant plant that does well in most growing conditions. The buds form in curved triangles, yielding approximately 600 grams per square meter. Flowering time is approximately 8-9 weeks. This strain is popular for its vivid euphoric experience and powerful body buzz.","['Euphoric 66%', 'Happy 63%', 'Uplifted 53%', 'Relaxed 52%', 'Creative 43%']","['Stress 41%', 'Depression 32%', 'Anxiety 31%', 'Pain 29%', 'Insomnia 14%']","['Dry mouth 34%', 'Dry eyes 20%', 'Dizzy 10%', 'Paranoid 7%', 'Anxious 6%']",Hybrid,4.3 ,1040 reviews
77,lemon-og,16–22% THC,< 1% CBD,[],No relevant amounts,"What this skunky indica lacks in longevity it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks.","['Relaxed 63%', 'Happy 54%', 'Euphoric 45%', 'Uplifted 39%', 'Creative 31%']","['Stress 29%', 'Anxiety 26%', 'Pain 26%', 'Depression 19%', 'Insomnia 18%']","['Dry mouth 30%', 'Dry eyes 16%', 'Dizzy 6%', 'Paranoid 5%', 'Anxious 5%']",Hybrid,4.2 ,446 reviews
78,grease-monkey,19–24% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Grease Monkey is a sweet, earthy strain with strong skunky overtones. Created by Exotic Genetix, Grease Monkey is a cross of GG4 x Cookies and Cream. This strain saddles the consumer with a lazy, munchie-fueled body buzz that may soften the blow of chronic pain, nausea, and stress. While defined as a hybrid, this Grease Monkey’s deep relaxation will naturally lead some consumers toward sleep, so mind your dosage. 
  ","['Relaxed 82%', 'Euphoric 57%', 'Happy 55%', 'Sleepy 41%', 'Uplifted 39%']","['Stress 37%', 'Pain 33%', 'Anxiety 28%', 'Insomnia 24%', 'Depression 23%']","['Dry mouth 25%', 'Dry eyes 13%', 'Dizzy 3%', 'Anxious 2%', 'Headache 1%']",Hybrid,4.7 ,246 reviews
79,kosher-kush,18–22% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"Kosher Kush, offered now in seed form from DNA Genetics, originated in Los Angeles as a clone-only strain. Winner of High Times Cannabis Cup’s Best Indica in 2010 and 2011, as well as Best Strain in 2011, Kosher Kush produces staggering levels of THC. Known as one of the most odiferous OG Kush-related strains, it has a unique yet familiar smell reminiscent of rich earth and fruit, and is considered by many to be one of the tastiest smokes around. The high experienced is typical of many heavy strains, producing pronounced relaxation and pain relief, with sleep often following close behind.  ","['Relaxed 68%', 'Sleepy 53%', 'Happy 46%', 'Euphoric 43%', 'Hungry 26%']","['Stress 36%', 'Insomnia 34%', 'Pain 33%', 'Anxiety 27%', 'Depression 22%']","['Dry mouth 31%', 'Dry eyes 16%', 'Dizzy 6%', 'Paranoid 3%', 'Anxious 1%']",Indica,4.5 ,860 reviews
80,critical-kush,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Critical Kush from Barney’s Farm is a mostly indica strain that blends together two famed cannabis staples, Critical Mass and OG Kush. Aromatic notes of earthiness and spice usher in a calming sensation that relaxes the mind and body. Critical Kush pairs a staggeringly high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms. Growers cultivating this strain indoors will wait 50 to 60 days for Critical Kush to complete its flowering cycle.","['Relaxed 81%', 'Happy 55%', 'Sleepy 49%', 'Euphoric 42%', 'Uplifted 31%']","['Stress 37%', 'Pain 34%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Dry mouth 33%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']",Indica,4.4 ,651 reviews
81,lemon-kush,17–21% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"The general consensus surrounding Lemon Kush is that is a cross between Master Kush and Lemon Joy. However, breeder specific variations exist. Alien Genetics, for example, explains their Lemon Kush as a hybrid between Lemon G, a prized strain from Ohio, and an Afghan Kush. The genetics are the only area of dispute as everyone will agree that the sweet flavors of lemon and citrus mix exceptionally well with the earthy kush undertones. The light green buds are covered in a white frosting of trichomes and provide uplifting and creative effects. Lemon Kush is the perfect solution for when the stresses of life have you feeling sour.","['Happy 63%', 'Uplifted 51%', 'Relaxed 51%', 'Euphoric 51%', 'Creative 31%']","['Stress 40%', 'Anxiety 31%', 'Depression 28%', 'Pain 23%', 'Insomnia 15%']","['Dry mouth 40%', 'Dry eyes 20%', 'Dizzy 10%', 'Paranoid 10%', 'Anxious 6%']",Hybrid,4.1 ,1169 reviews
82,white-rhino,15–19% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",No relevant amounts,"White Rhino is a hybrid of White Widow and an unknown North American indica strain, resulting a bushy and stout plant. This strain is said to descend from cultivars sourced from Afghanistan, Brazil, and India. White Rhino's high THC content makes it a popular choice among consumers looking for heavy-handed relaxation and symptom relief.","['Relaxed 57%', 'Happy 51%', 'Euphoric 48%', 'Sleepy 34%', 'Uplifted 33%']","['Stress 39%', 'Pain 33%', 'Anxiety 28%', 'Insomnia 23%', 'Depression 20%']","['Dry mouth 39%', 'Dry eyes 19%', 'Dizzy 7%', 'Paranoid 7%', 'Headache 6%']",Indica,4.1 ,1126 reviews
83,pink-kush,15–18% THC,< 1% CBD,[],No relevant amounts,"Pink Kush, as coveted as its OG Kush relative, is an indica-dominant hybrid with powerful body-focused effects. In its exceptional variations, pink hairs burst from bright green buds barely visible under a blanket of sugar-like trichomes, with traces of a sweet vanilla and candy perfume. The potency of this strain could be considered overpowering, and even small doses are known to eliminate pain, insomnia, and appetite loss. Growers have to wait 10 to 11 weeks for Pink Kush’s flowering, but high yields of top-shelf buds are worth the wait.","['Relaxed 78%', 'Happy 60%', 'Euphoric 47%', 'Sleepy 43%', 'Uplifted 35%']","['Stress 40%', 'Pain 35%', 'Insomnia 29%', 'Depression 29%', 'Anxiety 26%']","['Dry mouth 34%', 'Dry eyes 18%', 'Dizzy 5%', 'Anxious 4%', 'Paranoid 4%']",Hybrid,4.5 ,672 reviews
84,acdc,< 1% THC,11–15% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain Cannatonic with a remarkably high CBD:THC ratio. This strain induces little-to-no intoxicating effects and helps many patients treat various ailments like pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all with a clear head.","['Relaxed 66%', 'Happy 42%', 'Uplifted 36%', 'Focused 35%', 'Energetic 19%']","['Pain 44%', 'Stress 40%', 'Anxiety 37%', 'Inflammation 27%', 'Depression 24%']","['Dry mouth 11%', 'Dry eyes 4%', 'Anxious 2%', 'Headache 2%', 'Dizzy 2%']",Hybrid,4.5 ,750 reviews
85,slurricane,17–19% THC,< 1% CBD,[],,"Bred by In House Genetics, Slurricane crosses Do-Si-Dos and Purple Punch. This pungent, indica-dominant hybrid’s terpene profile pushes heavy aromas of creamy OG with undertones of tropical blueberries. ","['Relaxed 68%', 'Happy 43%', 'Euphoric 37%', 'Uplifted 31%', 'Sleepy 25%']","['Anxiety 12%', 'Arthritis 6%', 'PTSD 6%', 'ADD/ADHD 3%', 'Bipolar disorder 3%']","['Dry eyes 12%', 'Dry mouth 12%', 'Dizzy 3%']",Indica,4.7 ,43 reviews
86,gelato-33,16–21% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",No relevant amounts,"Originally from the famous Cookie Fam of the Bay Area, Gelato is a cross between Sunset Sherbet and Thin Mint GSC. Since its birth, a number of phenotypes have been released, all with their own unique attributes. One of them is Gelato #33, a balanced hybrid with compact buds, staying true to its Cookie genetics. Like other Gelato phenotypes, Gelato #33 is covered with fiery orange hairs while its buds can be dark green to purple. With sweet citrus and fruity flavors, Gelato #33 offers an uplifting and energetic high that is perfect for any post-work activity after a long day.","['Happy 72%', 'Relaxed 68%', 'Uplifted 67%', 'Euphoric 60%', 'Focused 43%']","['Stress 38%', 'Anxiety 34%', 'Depression 32%', 'Pain 31%', 'Muscle spasms 17%']","['Dry mouth 19%', 'Dry eyes 13%', 'Dizzy 8%', 'Anxious 1%', 'Headache 1%']",Hybrid,4.6 ,101 reviews
87,ghost-og,17–23% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"Ghost OG, a cut of OG Kush, is a hybrid strain loved for its balanced cerebral and body effects. Often described as simultaneously potent and non-intrusive, Ghost OG has won itself Cup awards and renown among consumers. Its strong citrus smell and crystal-covered buds hint at this strain’s strong genetics and its ability to annihilate pain, insomnia, depression, and anxiety. ","['Relaxed 66%', 'Happy 51%', 'Euphoric 41%', 'Uplifted 33%', 'Sleepy 28%']","['Stress 34%', 'Pain 30%', 'Anxiety 26%', 'Depression 26%', 'Insomnia 21%']","['Dry mouth 22%', 'Dry eyes 12%', 'Paranoid 4%', 'Dizzy 3%', 'Headache 3%']",Hybrid,4.5 ,554 reviews
88,thin-mint,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"Thin Mint, a hybrid cross containing Durban Poison and OG Kush genetics, is a phenotype of the legendary GSC strain. Dark green and royal purple hues peek through a heavy coat of crystals, with a sweet minty smell that gives a full explanation of this strain’s name. Thin Mint calls upon the powers of its indica, sativa, and hybrid ancestors for a powerful full-body effect that gives this strain its sterling reputation. The high psychoactivity of this strain is not for novice consumers, but patients with a variety of symptoms are giving Thin Mint their seal of approval: severe pain, nausea, swelling, insomnia, and appetite loss are no match for the potency of Thin Mint.","['Relaxed 68%', 'Happy 59%', 'Euphoric 56%', 'Uplifted 52%', 'Creative 32%']","['Stress 35%', 'Depression 31%', 'Pain 26%', 'Anxiety 24%', 'Lack of appetite 19%']","['Dry mouth 25%', 'Dry eyes 12%', 'Dizzy 6%', 'Anxious 5%', 'Paranoid 5%']",Hybrid,4.5 ,733 reviews
89,blackberry-kush,13–18% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong body effects. 
  ","['Relaxed 59%', 'Happy 47%', 'Sleepy 47%', 'Euphoric 45%', 'Hungry 29%']","['Stress 42%', 'Pain 38%', 'Insomnia 36%', 'Anxiety 33%', 'Depression 21%']","['Dry mouth 31%', 'Dry eyes 18%', 'Dizzy 5%', 'Headache 5%', 'Paranoid 3%']",Indica,4.2 ,1848 reviews
90,wedding-crasher,21–25% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",,"Produced by Symbiotic Genetics, Wedding Crasher is a beautiful cross of Wedding Cake and Purple Punch. By mixing the smooth vanilla flavors of Wedding Cake with the sweet grape notes of Purple Punch, Symbiotic has developed a mellow, earthy strain with sharp gassy highlights and a sweet berry finish. ","['Happy 64%', 'Uplifted 54%', 'Relaxed 50%', 'Focused 45%', 'Euphoric 39%']","['Anxiety 31%', 'Stress 27%', 'Depression 27%', 'PTSD 19%', 'Pain 19%']","['Dry mouth 33%', 'Dry eyes 13%', 'Dizzy 5%', 'Headache 3%', 'Anxious 1%']",Hybrid,4.8 ,77 reviews
91,acapulco-gold,15–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. This strain comes from the area in and around Acapulco, Mexico, and its orange hairs resemble a gold nugget, with gold, green, and brown colors and plenty of resin on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and it's becoming more difficult to find. ","['Happy 63%', 'Uplifted 55%', 'Euphoric 49%', 'Creative 44%', 'Energetic 40%']","['Stress 36%', 'Depression 30%', 'Anxiety 28%', 'Pain 21%', 'Fatigue 18%']","['Dry mouth 25%', 'Dry eyes 16%', 'Paranoid 6%', 'Anxious 5%', 'Dizzy 4%']",Sativa,4.5 ,618 reviews
92,superglue,17–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Superglue is a hybrid strain bred by Seedism Seeds. A cross between Afghani and Northern Lights, Superglue inherits indica growth patterns along with a sweet caramel and pine aroma. Superglue brings calming relaxation to the mind and body, but leaves you functional and energetic enough for social activities or a productive afternoon.","['Relaxed 89%', 'Happy 68%', 'Euphoric 58%', 'Uplifted 47%', 'Focused 38%']","['Stress 43%', 'Anxiety 32%', 'Pain 31%', 'Depression 30%', 'Insomnia 21%']","['Dry mouth 32%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 4%', 'Headache 2%']",Hybrid,4.7 ,329 reviews
93,afghan-kush,14–19% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. It has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made its seeds available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin and coming in big yields. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.","['Relaxed 52%', 'Sleepy 48%', 'Happy 46%', 'Hungry 43%', 'Euphoric 43%']","['Stress 41%', 'Pain 34%', 'Anxiety 32%', 'Insomnia 29%', 'Depression 21%']","['Dry mouth 47%', 'Dry eyes 30%', 'Dizzy 13%', 'Paranoid 9%', 'Headache 6%']",Indica,4 ,1149 reviews
94,golden-goat,16–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Myrcene']",No relevant amounts,"Golden Goat was created by accident in Topeka, Kansas, when a male Hawaiian-Romulan pollinated Mr. Dank's Island Sweet Skunk. The scent is described as being a combination of sweet, sour, and spicy, with a tropical fruit flavor. Its full-body effects provide a delightful rush of euphoria and creative spark. Golden Goat's flowering time is 9 to 11 weeks, with a golden appearance closer to harvest.","['Happy 63%', 'Uplifted 56%', 'Euphoric 55%', 'Relaxed 46%', 'Energetic 45%']","['Stress 39%', 'Depression 31%', 'Anxiety 27%', 'Pain 24%', 'Fatigue 15%']","['Dry mouth 27%', 'Dry eyes 15%', 'Paranoid 6%', 'Dizzy 5%', 'Anxious 4%']",Hybrid,4.5 ,1225 reviews
95,khalifa-kush,19–20% THC,< 1% CBD,[],No relevant amounts,"Khalifa Kush, or Wiz Khalifa OG,  is a hybrid that was bred specifically for the rap artist Wiz Khalifa, who claims it descended from an OG strain. The ‘real’ Khalifa Kush is supposedly unavailable to the public, but those who have acquired strains under this name say that the effects and aromas are similar to that of OG Kush: sour lemon and pine, with an active cerebral buzz ideal for morning and daytime use.","['Happy 65%', 'Relaxed 63%', 'Euphoric 52%', 'Uplifted 52%', 'Creative 40%']","['Stress 33%', 'Depression 29%', 'Pain 24%', 'Anxiety 21%', 'Lack of appetite 16%']","['Dry mouth 23%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 3%']",Hybrid,4.6 ,598 reviews
96,gods-gift,14–17% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"A strain that became popular in California dispensaries in 2005, God's Gift contains flavors of grape, citrus, and hash. Its parents are Granddaddy Purple and OG Kush. No matter what your belief system, this strain is a ""gift"" with its dreamy, blissful effects. Its flowering time usually takes approximately 8-9 weeks.","['Relaxed 64%', 'Happy 54%', 'Euphoric 49%', 'Sleepy 41%', 'Uplifted 34%']","['Stress 41%', 'Anxiety 33%', 'Pain 32%', 'Insomnia 29%', 'Depression 22%']","['Dry mouth 33%', 'Dry eyes 21%', 'Dizzy 7%', 'Paranoid 6%', 'Headache 4%']",Indica,4.4 ,1235 reviews
